id,user_id,center,extent
0,0,POINT (116.2991355937794111 39.9838052052780029),"POLYGON ((116.2990807368421002 39.9835256315789422, 116.2991073692307680 39.9840636538461496, 116.2992480471698116 39.9838015849056561, 116.2990807368421002 39.9835256315789422))"
1,0,POINT (116.3245469916771526 39.9999892501793255),"POLYGON ((116.3243880769230714 39.9995560769230778, 116.3245081999999968 40.0000841999999963, 116.3246381212121179 40.0005606666666722, 116.3246538636363567 40.0004191155844211, 116.3246134285714390 39.9996967142857116, 116.3245346799999993 39.9996425200000019, 116.3243880769230714 39.9995560769230778))"
2,0,POINT (116.3217762637245301 40.0102131943457735),"POLYGON ((116.3210754227272616 40.0080701011363615, 116.3203062571428603 40.0086271928571406, 116.3198466666666775 40.0092786666666669, 116.3198749731343185 40.0095068029850864, 116.3208676249999911 40.0117632500000013, 116.3217278528301932 40.0122125056603721, 116.3229207405857863 40.0112392928870264, 116.3236197142857122 40.0095469999999978, 116.3236199772727559 40.0094873977272911, 116.3233596111111297 40.0092377592592641, 116.3210754227272616 40.0080701011363615))"
3,0,POINT (116.3222712253580369 40.0078827620129829),"POLYGON ((116.3222543579546056 40.0070303799715958, 116.3221938888888900 40.0079535555555594, 116.3222252727272803 40.0086945000000043, 116.3222338333333283 40.0088231666666658, 116.3223048999999918 40.0085405000000023, 116.3223504451612911 40.0073384129032306, 116.3223052553078816 40.0071381650742950, 116.3222543579546056 40.0070303799715958))"
4,0,POINT (116.2968847189744253 40.0113375312569701),"POLYGON ((116.2968979503546336 40.0111943238770777, 116.2968233661017194 40.0112981220338995, 116.2969328404669227 40.0115201478599189, 116.2968979503546336 40.0111943238770777))"
5,0,POINT (116.3313701789811461 39.9755609640737006),"POLYGON ((116.3334901111111037 39.9722798888888917, 116.3314543739130471 39.9725696608695600, 116.3313134760000054 39.9725904159999956, 116.3312057083333428 39.9726760083333374, 116.3285808971909887 39.9751162780898568, 116.3286363636364200 39.9754674242424031, 116.3290583333335064 39.9770874999999961, 116.3296333333334900 39.9778749999999974, 116.3298669894011113 39.9781552154745583, 116.3310817697594359 39.9789175429553225, 116.3324263333333732 39.9794301428571330, 116.3331875571428498 39.9785345857142786, 116.3349133741721886 39.9738260761589217, 116.3348466489493234 39.9734512126081754, 116.3339068441064512 39.9725281692015244, 116.3334901111111037 39.9722798888888917))"
6,0,POINT (116.3242481250000111 40.0000393750000001),"POLYGON ((116.3240851564073495 40.0002650094388841, 116.3240946614911309 40.0002859709863827, 116.3241061753962811 40.0003058999371746, 116.3241195872376039 40.0003246043645575, 116.3241347678517172 40.0003419041346859, 116.3241515710410283 40.0003576326413040, 116.3241698349816318 40.0003716384103001, 116.3241893837817855 40.0003837865584586, 116.3242100291758732 40.0003939600924738, 116.3242315723374531 40.0004020610356577, 116.3242538057941147 40.0004080113714906, 116.3242765154254954 40.0004117537949924, 116.3242994825254470 40.0004132522645719, 116.3243224859082403 40.0004124923491560, 116.3243453040387294 40.0004094813671358, 116.3243677171658277 40.0004042483159239, 116.3243895094388733 40.0003968435926538, 116.3244104709863791 40.0003873385088724, 116.3244303999371709 40.0003758246037222, 116.3244491043645610 40.0003624127624064, 116.3244664041346823 40.0003472321482860, 116.3244821326412932 40.0003304289589749, 116.3244961384102965 40.0003121650183715, 116.3245082865584550 40.0002926162182177, 116.3245184600924773 40.0002719708241301, 116.3245265610356540 40.0002504276625501, 116.3245325113714870 40.0002281942058886, 116.3245362537949887 40.0002054845745079, 116.3245377522645754 40.0001825174745491, 116.3245369923491523 40.0001595140917559, 116.3245339813671393 40.0001366959612739, 116.3245287483159132 40.0001142828341756, 116.3245213435926502 40.0000924905611228, 116.3244110935926585 39.9998137405611160, 116.3244015885088771 39.9997927790136174, 116.3243900746037269 39.9997728500628256, 116.3243766627624041 39.9997541456354426, 116.3243614821482907 39.9997368458653142, 116.3243446789589797 39.9997211173586962, 116.3243264150183762 39.9997071115897000, 116.3243068662182225 39.9996949634415415, 116.3242862208241348 39.9996847899075263, 116.3242646776625548 39.9996766889643425, 116.3242424442058933 39.9996707386285095, 116.3242197345745126 39.9996669962050078, 116.3241967674745609 39.9996654977354282, 116.3241737640917677 39.9996662576508442, 116.3241509459612786 39.9996692686328643, 116.3241285328341803 39.9996745016840762, 116.3241067405611346 39.9996819064073463, 116.3240857790136289 39.9996914114911277, 116.3240658500628371 39.9997029253962779, 116.3240471456354470 39.9997163372375937, 116.3240298458653257 39.9997315178517141, 116.3240141173587148 39.9997483210410252, 116.3240001115897115 39.9997665849816286, 116.3239879634415530 39.9997861337817824, 116.3239777899075307 39.9998067791758700, 116.3239696889643540 39.9998283223374500, 116.3239637386285210 39.9998505557941115, 116.3239599962050193 39.9998732654254923, 116.3239584977354326 39.9998962325254510, 116.3239592576508556 39.9999192359082443, 116.3239622686328687 39.9999420540387263, 116.3239675016840948 39.9999644671658245, 116.3239749064073578 39.9999862594388773, 116.3240851564073495 40.0002650094388841))"
7,0,POINT (116.3202479097551816 40.0069710916882357),"POLYGON ((116.3211608634361482 40.0050915330396109, 116.3201742768361555 40.0055642598870023, 116.3192349361702327 40.0074174680851016, 116.3191105035971304 40.0079629208633136, 116.3190646666666623 40.0082120000000074, 116.3193620333333484 40.0093444000000105, 116.3205824071660572 40.0081935081433073, 116.3209345249999842 40.0072928499999989, 116.3215649545454369 40.0056755000000095, 116.3214797199017454 40.0053482211302054, 116.3211608634361482 40.0050915330396109))"
8,0,POINT (116.3243964909090948 40.0018842056818187),"POLYGON ((116.3246510963422367 40.0018593439533703, 116.3246571093679904 40.0018371267249435, 116.3246609157701812 40.0018144270989637, 116.3246624788910850 40.0017914636852296, 116.3246617836769872 40.0017684576339647, 116.3246588368231755 40.0017456305060222, 116.3246536667094659 40.0017232021391251, 116.3246463231268990 40.0017013885307051, 116.3246368767981522 40.0016803997577313, 116.3246254186965700 40.0016604379535750, 116.3246120591699082 40.0016416953613074, 116.3245969268777174 40.0016243524823452, 116.3245801675522699 40.0016085763380858, 116.3245619425949968 40.0015945188614381, 116.3245424275222035 40.0015823154335735, 116.3245218102747316 40.0015720835801787, 116.3245002894079221 40.0015639218395904, 116.3244780721795024 40.0015579088138367, 116.3244553725535297 40.0015541024116388, 116.3244324091397885 40.0015525392907350, 116.3244094030885236 40.0015532345048328, 116.3243865759605740 40.0015561813586444, 116.3243641475936840 40.0015613514723469, 116.3243423339852569 40.0015686950549281, 116.3243213452122973 40.0015781413836677, 116.3243013834081268 40.0015895994852571, 116.3242826408158663 40.0016029590119118, 116.3242652979369041 40.0016180913040955, 116.3242495217926518 40.0016348506295571, 116.3242354643159899 40.0016530755868303, 116.3242232608881324 40.0016725906596164, 116.3242130290347376 40.0016932079070884, 116.3242048672941422 40.0017147287738908, 116.3241418854759530 40.0019090674102600, 116.3241358724501993 40.0019312846386867, 116.3241320660480085 40.0019539842646665, 116.3241305029271047 40.0019769476784006, 116.3241311981412025 40.0019999537296655, 116.3241341449950141 40.0020227808576081, 116.3241393151087237 40.0020452092245051, 116.3241466586912907 40.0020670228329251, 116.3241561050200374 40.0020880116058990, 116.3241675631216197 40.0021079734100553, 116.3241809226482815 40.0021267160023228, 116.3241960549404723 40.0021440588812851, 116.3242128142659197 40.0021598350255445, 116.3242310392231929 40.0021738925021921, 116.3242505542959861 40.0021860959300568, 116.3242711715434581 40.0021963277834516, 116.3242926924102676 40.0022044895240398, 116.3243149096386873 40.0022105025497936, 116.3243376092646599 40.0022143089519915, 116.3243605726784011 40.0022158720728953, 116.3243835787296661 40.0022151768587975, 116.3244064058576157 40.0022122300049858, 116.3244288342245056 40.0022070598912833, 116.3244506478329328 40.0021997163087022, 116.3244716366058924 40.0021902699799625, 116.3244915984100629 40.0021788118783732, 116.3245103410023233 40.0021654523517185, 116.3245276838812856 40.0021503200595347, 116.3245434600255379 40.0021335607340731, 116.3245575175021997 40.0021153357768000, 116.3245697209300573 40.0020958207040138, 116.3245799527834521 40.0020752034565419, 116.3245881145240475 40.0020536825897395, 116.3246510963422367 40.0018593439533703))"
9,0,POINT (116.3325121383982435 39.9914952891653641),"POLYGON ((116.3330038911565225 39.9910544081632580, 116.3323947084745953 39.9910652406779334, 116.3319655300000051 39.9912184700000068, 116.3318650989010905 39.9913847802197822, 116.3318565536480804 39.9914150257510670, 116.3319073763440912 39.9916934731182820, 116.3319986999999855 39.9919041249999978, 116.3331011538461723 39.9924953846153812, 116.3332449999999909 39.9925448999999986, 116.3332540289017061 39.9917601098265791, 116.3330903333333453 39.9912926666666664, 116.3330038911565225 39.9910544081632580))"
